snapshot_date,product_id,warehouse,quantity_on_hand
2023-03-01,1,WH_NORTH,432
2023-03-01,2,WH_SOUTH,169
2023-03-01,3,WH_NORTH,441
2023-03-01,4,WH_SOUTH,275
2023-03-01,5,WH_EAST,446
2023-03-01,6,WH_WEST,219
2023-03-01,7,WH_SOUTH,386
2023-03-01,8,WH_WEST,447
2023-03-01,9,WH_EAST,263
2023-03-01,10,WH_NORTH,322
2023-03-01,11,WH_WEST,389
2023-03-01,12,WH_SOUTH,264
2023-03-01,13,WH_EAST,293
2023-03-01,14,WH_SOUTH,388
2023-03-01,15,WH_WEST,440
2023-03-01,16,WH_NORTH,343
2023-03-01,17,WH_WEST,100
2023-03-01,18,WH_EAST,262
2023-03-01,19,WH_EAST,113
2023-03-01,20,WH_NORTH,368
2023-03-01,21,WH_NORTH,11
2023-03-01,22,WH_NORTH,435
2023-03-01,23,WH_SOUTH,224
2023-03-01,24,WH_WEST,307
2023-03-01,25,WH_EAST,43
2023-03-01,26,WH_SOUTH,0
2023-03-01,27,WH_EAST,329
2023-03-01,28,WH_EAST,75
2023-03-01,29,WH_WEST,235
2023-03-01,30,WH_EAST,268
2023-03-01,31,WH_WEST,388
2023-03-01,32,WH_WEST,24
2023-03-01,33,WH_SOUTH,198
2023-03-01,34,WH_EAST,212
2023-03-01,35,WH_SOUTH,26
2023-03-01,36,WH_SOUTH,382
2023-03-01,37,WH_WEST,110
2023-03-01,38,WH_EAST,155
2023-03-01,39,WH_EAST,108
2023-03-01,40,WH_EAST,206
2023-03-01,41,WH_WEST,382
2023-03-01,42,WH_SOUTH,119
2023-03-01,43,WH_NORTH,275
2023-03-01,44,WH_NORTH,345
2023-03-01,45,WH_SOUTH,100
2023-03-01,46,WH_SOUTH,189
2023-03-01,47,WH_WEST,347
2023-03-01,48,WH_WEST,45
2023-03-01,49,WH_WEST,365
2023-03-01,50,WH_NORTH,229
2023-03-04,1,WH_SOUTH,429
2023-03-04,2,WH_NORTH,453
2023-03-04,3,WH_WEST,154
2023-03-04,4,WH_EAST,443
2023-03-04,5,WH_EAST,236
2023-03-04,6,WH_WEST,453
2023-03-04,7,WH_WEST,88
2023-03-04,8,WH_WEST,455
2023-03-04,9,WH_SOUTH,198
2023-03-04,10,WH_SOUTH,482
2023-03-04,11,WH_WEST,227
2023-03-04,12,WH_EAST,356
2023-03-04,13,WH_NORTH,260
2023-03-04,14,WH_WEST,416
2023-03-04,15,WH_WEST,135
2023-03-04,16,WH_WEST,494
2023-03-04,17,WH_EAST,313
2023-03-04,18,WH_EAST,350
2023-03-04,19,WH_EAST,332
2023-03-04,20,WH_SOUTH,481
2023-03-04,21,WH_EAST,429
2023-03-04,22,WH_EAST,70
2023-03-04,23,WH_EAST,434
2023-03-04,24,WH_SOUTH,228
2023-03-04,25,WH_WEST,403
2023-03-04,26,WH_EAST,449
2023-03-04,27,WH_NORTH,492
2023-03-04,28,WH_SOUTH,243
2023-03-04,29,WH_WEST,238
2023-03-04,30,WH_WEST,285
2023-03-04,31,WH_WEST,144
2023-03-04,32,WH_NORTH,135
2023-03-04,33,WH_SOUTH,11
2023-03-04,34,WH_WEST,215
2023-03-04,35,WH_WEST,181
2023-03-04,36,WH_NORTH,157
2023-03-04,37,WH_WEST,179
2023-03-04,38,WH_SOUTH,152
2023-03-04,39,WH_NORTH,38
2023-03-04,40,WH_EAST,386
2023-03-04,41,WH_WEST,392
2023-03-04,42,WH_SOUTH,333
2023-03-04,43,WH_SOUTH,30
2023-03-04,44,WH_NORTH,403
2023-03-04,45,WH_NORTH,329
2023-03-04,46,WH_NORTH,292
2023-03-04,47,WH_EAST,378
2023-03-04,48,WH_NORTH,407
2023-03-04,49,WH_WEST,190
2023-03-04,50,WH_WEST,182
2023-03-07,1,WH_SOUTH,123
2023-03-07,2,WH_EAST,369
2023-03-07,3,WH_EAST,175
2023-03-07,4,WH_SOUTH,268
2023-03-07,5,WH_EAST,335
2023-03-07,6,WH_WEST,187
2023-03-07,7,WH_SOUTH,175
2023-03-07,8,WH_SOUTH,467
2023-03-07,9,WH_SOUTH,442
2023-03-07,10,WH_SOUTH,482
2023-03-07,11,WH_WEST,220
2023-03-07,12,WH_NORTH,323
2023-03-07,13,WH_NORTH,441
2023-03-07,14,WH_NORTH,133
2023-03-07,15,WH_WEST,14
2023-03-07,16,WH_NORTH,35
2023-03-07,17,WH_NORTH,376
2023-03-07,18,WH_SOUTH,417
2023-03-07,19,WH_EAST,299
2023-03-07,20,WH_EAST,422
2023-03-07,21,WH_WEST,39
2023-03-07,22,WH_NORTH,307
2023-03-07,23,WH_WEST,426
2023-03-07,24,WH_EAST,41
2023-03-07,25,WH_NORTH,280
2023-03-07,26,WH_NORTH,349
2023-03-07,27,WH_EAST,257
2023-03-07,28,WH_SOUTH,383
2023-03-07,29,WH_WEST,403
2023-03-07,30,WH_EAST,205
2023-03-07,31,WH_WEST,39
2023-03-07,32,WH_EAST,373
2023-03-07,33,WH_EAST,240
2023-03-07,34,WH_WEST,217
2023-03-07,35,WH_NORTH,261
2023-03-07,36,WH_WEST,261
2023-03-07,37,WH_WEST,342
2023-03-07,38,WH_NORTH,143
2023-03-07,39,WH_WEST,375
2023-03-07,40,WH_WEST,204
2023-03-07,41,WH_WEST,280
2023-03-07,42,WH_SOUTH,362
2023-03-07,43,WH_NORTH,379
2023-03-07,44,WH_EAST,364
2023-03-07,45,WH_SOUTH,188
2023-03-07,46,WH_WEST,175
2023-03-07,47,WH_EAST,8
2023-03-07,48,WH_NORTH,141
2023-03-07,49,WH_SOUTH,359
2023-03-07,50,WH_SOUTH,354
2023-03-10,1,WH_SOUTH,1
2023-03-10,2,WH_SOUTH,294
2023-03-10,3,WH_SOUTH,254
2023-03-10,4,WH_WEST,465
2023-03-10,5,WH_EAST,437
2023-03-10,6,WH_NORTH,161
2023-03-10,7,WH_EAST,429
2023-03-10,8,WH_WEST,348
2023-03-10,9,WH_SOUTH,319
2023-03-10,10,WH_WEST,89
2023-03-10,11,WH_SOUTH,34
2023-03-10,12,WH_EAST,28
2023-03-10,13,WH_EAST,34
2023-03-10,14,WH_SOUTH,448
